UtilityName,StateName,CountyName,CityName,AvgCustomersTracked,MaxCustomersOut,CustomerHoursOutTotal,CustomerHoursTrackedTotal,RecordYear,RecordMonth
Central Maine Power,Maine,Somerset,Norridgewock,1783,1996,17453.16,973502.69,2023,9
Central Maine Power,Maine,Androscoggin,Bowdoin,14,16,0.0,10612.27,2023,8
Central Maine Power,Maine,Sagadahoc,Phippsburg,2101,2146,2791.15,1513002.26,2023,4
Central Maine Power,Maine,Penobscot,Newburgh,62,121,689.82,46128.0,2019,10
Versant Power,Maine,Aroostook,Td R2 Wels,13,22,216.78,9672.0,2020,12
Central Maine Power,Maine,Piscataquis,Dover-foxcroft,2661,4158,3378.87,1980462.13,2020,5
Versant Power,Maine,Unknown,"T9, R3, 4,5,7",17,50,157.83,12366.33,2017,10
Versant Power,Maine,Aroostook,Frenchville,621,1085,26040.0,462024.0,2017,12
Versant Power,Maine,Penobscot,Lincoln,3390,11480,86576.58,2522508.92,2022,12
Central Maine Power,Maine,Somerset,Caratunk Plantation,182,183,628.63,135456.12,2023,5
Versant Power,Maine,Penobscot,Bangor,10632,12960,114843.6,7655039.11,2019,11
Central Maine Power,Maine,Kennebec,Belgrade,2527,5949,82313.74,1880094.93,2017,10
Central Maine Power,Maine,Penobscot,Dexter,2275,2841,30750.16,1693326.48,2017,10
Versant Power,Maine,Aroostook,New Canada,137,250,164.31,101928.0,2018,7
Versant Power,Maine,Unknown,Cedar Lake Twp,67,201,2851.43,48240.0,2019,11
Versant Power,Maine,Penobscot,Clifton,543,995,2120.37,404331.98,2020,7
Central Maine Power,Maine,York,Dayton,942,974,11357.46,701201.15,2019,10
Versant Power,Maine,Washington,Bucks Harbor,82,160,426.69,61008.0,2019,7
Central Maine Power,Maine,Somerset,Tomhegan,184,906,14861.24,137287.98,2020,12
Central Maine Power,Maine,Franklin,Livermore,3,6,7.5,654.46,2020,12
Central Maine Power,Maine,Somerset,Solon,691,1390,24193.5,514482.66,2017,10
