County,Overall Yearly Average Outage Hours per Customer (2017 - 2023),Utility Provider(s)
Androscoggin,10.387781553477554,Central Maine Power
Aroostook,18.00215933661877,"Eastern Maine Power Cooperative, Versant Power"
Cumberland,10.664610219566283,Central Maine Power
Franklin,19.398949508587826,Central Maine Power
Hancock,25.80987192295049,"Central Maine Power, Versant Power"
Kennebec,11.146684065016592,Central Maine Power
Knox,14.728108624616429,Central Maine Power
Lincoln,23.44271413948382,Central Maine Power
Oxford,20.0112332786525,Central Maine Power
Penobscot,17.990396286140772,"Central Maine Power, Eastern Maine Power Cooperative, Versant Power"
Piscataquis,22.302283748699498,"Central Maine Power, Versant Power"
Sagadahoc,19.465869770092983,Central Maine Power
Somerset,19.444467473726665,Central Maine Power
Waldo,17.727764263081117,"Central Maine Power, Versant Power"
Washington,13.839072763361754,"Eastern Maine Power Cooperative, Versant Power"
York,12.954256992625655,Central Maine Power
